Species	Core kmers	Mean Kmers	Kmers Std Dev	Min Kmers	Max Kmers	Available Genomes	Used Genomes
Capnocytophaga canimorsus	1469	2707	70	2627	2777	4	4
Capnocytophaga canis	2688	3613	75	3553	3718	3	3
Capnocytophaga cynodegmi	1610	2951	19	2928	2981	4	4
Capnocytophaga gingivalis	2586	3964	86	3877	4050	2	2
Capnocytophaga granulosa	2624	4292	75	4238	4421	4	4
Capnocytophaga haemolytica	2883	2887	2	2884	2888	3	3
Capnocytophaga leadbetteri	1124	2888	74	2798	2979	3	3
Capnocytophaga ochracea	1165	2587	46	2507	2615	4	4
Capnocytophaga periodontitidis	801	2972	43	2905	3058	9	9
Capnocytophaga sputigena	1154	2942	76	2800	3007	7	7
Capnocytophaga stomatis	1862	3380	98	3299	3544	4	4
Caproicibacter fermentans	4762	6909	43	6848	6943	3	3
Caproicibacterium lactatifermentans	3908	4291	172	4064	4479	3	3
Caproiciproducens galactitolivorans	4065	4072	5	4067	4077	2	2
Carboxydocella thermautotrophica	2937	3730	67	3654	3830	5	5
Carboxydothermus hydrogenoformans	1610	2424	30	2386	2459	3	3
Cardiobacterium hominis	2859	5308	76	5237	5441	6	6
Cardiobacterium valvarum	3657	5979	137	5882	6172	3	3
Carnobacterium divergens	4538	4538	0	4538	4539	2	2
Carnobacterium inhibens	3319	4536	146	4390	4683	2	2
Carnobacterium jeotgali	4228	4270	36	4234	4305	2	2
Carnobacterium maltaromaticum	4148	5994	147	5794	6196	6	6
Carnobacterium_A alterfunditum	2713	4330	21	4311	4359	3	3
Carnobacterium_A iners	3915	3941	24	3917	3965	2	2
Carnobacterium_A mobile	3147	4264	26	4238	4290	2	2
Carnobacterium_A viridans	4446	4483	33	4450	4516	2	2
Castellaniella caeni	5909	6384	148	6236	6533	2	2
Castellaniella defragrans	4280	5566	21	5539	5589	3	3
Catabacter hongkongensis	3619	4544	346	4198	4890	2	2
Catellatospora bangladeshensis	5448	10773	239	10534	11012	2	2
Catellatospora citrea	6582	12353	48	12304	12432	4	4
Catellatospora methionotrophica	10962	10972	10	10963	10982	2	2
Catenibacterium mitsuokai	3214	5524	26	5497	5550	2	2
Caulobacter flavus	8099	8278	166	8112	8443	2	2
Caulobacter henricii	7907	8998	88	8910	9086	2	2
Caulobacter rhizosphaerae	4303	8752	290	8300	9009	4	4
Caulobacter segnis	7866	7868	0	7868	7868	2	2
Caulobacter vibrioides	7370	7396	24	7373	7420	2	2
Caviibacter abscessus	1377	1490	64	1425	1554	2	2
Cedecea davisae	4041	7907	102	7743	8005	7	7
Cedecea neteri	9305	9420	102	9319	9522	2	2
Cedecea neteri_A	7446	8974	528	8447	9502	2	2
Cedecea neteri_C	6025	9096	498	8597	9594	2	2
Celeribacter baekdonensis_A	8694	10346	76	10269	10422	2	2
Celeribacter ethanolicus	6623	8836	174	8662	9010	2	2
Celeribacter halophilus	4605	9285	67	9172	9344	4	4
Celeribacter indicus	9096	9106	7	9099	9113	2	2
Celeribacter_A marinus	7179	7303	124	7179	7427	2	2
Cellulomonas algicola	3467	5480	80	5401	5560	2	2
Cellulomonas denverensis	3759	3760	2	3759	3762	2	2
Cellulomonas fimi	4968	5021	32	4975	5045	3	3
Cellulomonas gelida	3783	4279	37	4252	4332	3	3
Cellulomonas hominis	3651	5069	239	4824	5311	4	4
Cellulomonas iranensis	2984	4477	52	4421	4550	5	5
Cellulomonas marina	4577	4586	2	4584	4587	2	2
Cellulomonas oligotrophica	4582	4837	359	4583	5344	3	3
Cellulomonas shaoxiangyii	4448	4471	15	4456	4486	2	2
Cellulomonas soli	5208	5210	2	5208	5212	2	2
Cellulomonas uda	3148	4205	136	4108	4397	3	3
Cellulomonas_A cellasea	3138	5386	184	5202	5569	2	2
Cellulophaga algicola	4387	6529	170	6334	6748	3	3
Cellulophaga baltica	3379	6212	41	6165	6275	4	4
Cellulophaga lytica	3517	3924	33	3891	3957	2	2
Cellulosilyticum lentocellum	5240	7816	74	7742	7891	2	2
Cellulosimicrobium cellulans	3397	5515	32	5483	5547	2	2
Cellulosimicrobium composti	3910	5104	45	5054	5163	3	3
Cellulosimicrobium funkei	2480	5034	123	4850	5274	16	16
Centipeda felix	2581	5831	205	5501	6016	4	4
Centipeda timonae	4063	6226	90	6136	6316	2	2
Cerasibacillus quisquiliarum	7099	7116	6	7109	7122	2	2
Cerasicoccus arenae	8749	8752	1	8751	8753	2	2
Cetia pacifica	1880	1886	2	1884	1888	2	2
Cetobacterium_A somerae	2114	3108	105	3034	3257	3	3
Chania multitudinisentens	9012	9014	2	9013	9016	2	2
Chania oryzae	5983	7954	311	7583	8344	3	3
Chelativorans multitrophicus	9123	9364	60	9304	9425	2	2
Chelatococcus asaccharovorans	17048	17055	7	17048	17062	2	2
Chelatococcus_A caeni	8946	10856	237	10677	11191	3	3
Chelatococcus_A composti	7567	7574	6	7569	7582	3	3
Chelatococcus_A sambhunathii	7326	9048	198	8729	9259	5	5
Chelonobacter aquarius	1557	3804	40	3741	3868	10	10
Chelonobacter testudinis	4242	4258	16	4246	4280	3	3
Chitinibacter tainanensis	2638	4640	2	4639	4642	2	2
Chitinophaga barathri	9034	9036	0	9036	9037	2	2
Chitinophaga costaii	5943	5947	2	5945	5949	2	2
Chitinophaga ginsengisegetis	6691	8888	72	8816	8960	2	2
Chitinophaga oryzae	12389	13537	94	13443	13631	2	2
Chitinophaga pinensis_A	6490	7197	71	7097	7248	3	3
Chitinophaga solisilvae	10710	13060	16	13044	13077	2	2
Chitinophaga terrae	7356	7376	2	7374	7379	2	2
Chitinophaga vietnamensis	7047	7048	0	7047	7048	2	2
Chlamydia abortus	1885	1991	10	1977	1999	3	3
Chlamydia muridarum	1406	1518	16	1506	1550	5	5
Chlamydia pecorum	1254	1580	19	1554	1619	11	11
Chlamydia pneumoniae	1824	2034	5	2029	2044	5	5
Chlamydia psittaci	1274	1913	38	1836	2046	44	44
Chlamydia suis	774	1388	12	1355	1408	40	40
Chlamydia trachomatis	1196	1485	118	1437	2260	92	92
Chlamydophila gallinacea	1434	1564	2	1563	1568	4	4
Chloracidobacterium thermophilum	7612	9038	56	8959	9081	3	3
Chlorobium ferrooxidans	2450	5086	32	5055	5118	2	2
Chlorobium phaeovibrioides	3522	4793	212	4553	5159	5	5
Chlorogloeopsis fritschii	11213	11332	80	11252	11413	2	2
Christensenella minuta	3990	4712	33	4641	4731	6	6
Chromatocurvus halotolerans	8424	8432	4	8428	8436	2	2
Chromobacterium alkanivorans	3744	5262	111	5077	5373	4	4
Chromobacterium amazonense	3592	5927	465	5316	6444	3	3
Chromobacterium aquaticum	4288	5826	24	5801	5850	2	2
Chromobacterium haemolyticum	3305	6007	130	5877	6137	2	2
Chromobacterium phragmitis	4416	5572	36	5537	5608	2	2
Chromobacterium sphagni	4670	5534	117	5417	5651	2	2
Chromobacterium subtsugae	3724	5450	316	5185	5975	4	4
Chromobacterium vaccinii	4411	5750	18	5732	5769	2	2
Chromobacterium violaceum	3372	5273	108	5105	5446	7	7
Chromohalobacter beijerinckii	3385	8696	388	8347	9323	4	4
Chromohalobacter canadensis	5441	8878	28	8850	8907	2	2
Chromohalobacter israelensis	4698	8894	123	8727	9062	6	6
Chromohalobacter moromii	6426	8798	86	8712	8884	2	2
Chroococcidiopsis thermalis	5509	11638	184	11454	11822	2	2
Chroococcidiopsis thermalis subspecies 1	8401	12318	858	11324	13570	4	4
Chryseobacterium balustinum	6069	6490	277	6098	6695	3	3
Chryseobacterium binzhouense	3207	5278	158	5121	5436	2	2
Chryseobacterium candidae	5021	6755	136	6563	6867	3	3
Chryseobacterium capnotolerans	7652	7841	147	7696	8043	3	3
Chryseobacterium carnipullorum	6627	8864	118	8659	8945	4	4
Chryseobacterium cucumeris	4927	7593	215	7291	7860	6	6
Chryseobacterium culicis	5843	7327	1	7326	7328	2	2
Chryseobacterium daecheongense	2967	5504	80	5391	5560	3	3
Chryseobacterium formosense	3761	6364	41	6306	6399	3	3
Chryseobacterium gallinarum	4453	6666	171	6463	6866	4	4
Chryseobacterium gambrini	2593	6259	75	6203	6364	3	3
Chryseobacterium gleum	3742	7775	653	7062	8429	6	6
Chryseobacterium indologenes	5837	7990	147	7815	8357	55	55
Chryseobacterium indoltheticum	2105	5922	294	5664	6513	6	6
Chryseobacterium jejuense	7033	7130	90	7039	7220	2	2
Chryseobacterium joostei	6759	6785	23	6762	6808	2	2
Chryseobacterium lathyri	5039	6987	195	6712	7142	3	3
Chryseobacterium mucoviscidosis	2180	5620	111	5480	5831	6	6
Chryseobacterium oranimense	4742	6712	92	6647	6843	3	3
Chryseobacterium pennae	5812	8752	318	8434	9071	2	2
Chryseobacterium piperi	6169	6183	14	6169	6197	2	2
Chryseobacterium piscicola	4279	4280	0	4280	4281	2	2
Chryseobacterium rhizosphaerae	5118	8037	162	7769	8196	4	4
Chryseobacterium scophthalmum	1497	5958	163	5726	6195	5	5
Chryseobacterium shandongense	3871	6017	142	5887	6255	4	4
Chryseobacterium shigense	8376	8384	4	8379	8388	2	2
Chryseobacterium taihuense	3440	5260	196	4983	5398	3	3
Chryseobacterium vrystaatense	7340	8936	52	8883	8988	2	2
Chryseoglobus frigidaquae	4762	4768	6	4762	4775	2	2
Chthoniobacter flavus	13579	13636	13	13623	13649	2	2
Chthonomonas calidirosea	3366	4110	43	4057	4152	4	4
Citreicoccus inhibens	14876	15978	62	15916	16040	2	2
Citricoccus terreus	3354	5418	87	5331	5505	2	2
Citrobacter amalonaticus	3792	11273	474	10505	13331	62	62
Citrobacter braakii	4563	10867	618	8746	12205	123	123
Citrobacter cronae	6898	10764	761	9688	12465	30	30
Citrobacter europaeus	8053	11355	358	10894	12035	10	10
Citrobacter farmeri	5283	11816	505	11157	12965	22	22
Citrobacter freundii	5277	11354	488	9470	12680	612	500
Citrobacter gillenii	8134	11101	262	10909	11471	3	3
Citrobacter koseri	6282	10383	272	9543	11147	135	135
Citrobacter pasteurii	8427	10470	470	9667	10814	4	4
Citrobacter portucalensis	3984	11083	577	9350	12423	178	178
Citrobacter rodentium	9996	10104	59	10029	10164	6	6
Citrobacter sedlakii	6870	10409	380	9793	10838	9	9
Citrobacter werkmanii	4453	11996	887	10728	13068	46	46
Citrobacter youngae	5476	10813	538	9918	11852	17	17
Clavibacter michiganensis	2374	5150	90	5011	5402	49	49
Cloacibacillus evryensis	5092	6938	102	6837	7056	4	4
Cloacibacillus porcorum	4940	6798	122	6676	6921	2	2
Cloacibacterium normanense	3760	3769	6	3761	3775	3	3
Clostridioides_A mangenotii	2178	3523	34	3489	3557	2	2
Clostridium aceticum	6185	6188	0	6188	6189	2	2
Clostridium acetobutylicum	3189	4557	158	4284	4655	4	4
Clostridium autoethanogenum	5387	5430	33	5406	5477	3	3
Clostridium baratii	1588	3182	62	3127	3268	3	3
Clostridium beijerinckii	3566	6961	239	6786	7373	4	4
Clostridium butyricum	2506	5403	138	5250	5760	12	12
Clostridium carboxidivorans	4863	5840	673	4889	6351	3	3
Clostridium celatum	3187	3567	33	3544	3613	3	3
Clostridium chauvoei	2552	2612	6	2596	2617	66	66
Clostridium chromiireducens	5192	6540	188	6352	6728	2	2
Clostridium chrysemydis	1535	3068	40	3028	3109	2	2
Clostridium cuniculi	2417	3818	223	3621	4130	3	3
Clostridium disporicum_B	2832	3688	62	3642	3794	4	4
Clostridium gasigenes	1767	4062	89	3944	4228	10	10
Clostridium haemolyticum	2234	2432	65	2367	2497	2	2
Clostridium kluyveri	4828	4838	10	4828	4847	2	2
Clostridium neonatale	3690	5342	359	5080	6134	9	9
Clostridium novyi	1373	2627	41	2545	2677	6	6
Clostridium paraputrificum subspecies 1	2370	3812	120	3669	4085	14	14
Clostridium paraputrificum subspecies 2	2455	3805	108	3670	4001	9	9
Clostridium pasteurianum	4812	4814	2	4813	4816	2	2
Clostridium perfringens	1044	3411	230	3017	3945	17	17
Clostridium saccharobutylicum	4726	5434	54	5247	5496	64	64
Clostridium saccharoperbutylacetonicum	7271	7292	14	7277	7306	2	2
Clostridium saudiense	2755	3718	107	3496	3897	12	12
Clostridium septicum	2726	2989	18	2958	3009	6	6
Clostridium sporogenes	3142	3810	50	3751	3895	8	8
Clostridium tertium	2420	3799	66	3726	3959	12	12
Clostridium tetani	1562	2869	42	2814	2978	10	10
Clostridium tyrobutyricum	2633	3904	59	3858	4047	8	8
Clostridium ventriculi	2368	2370	2	2368	2372	2	2
Clostridium_A leptum	4484	4484	0	4484	4484	1	1
Clostridium_A leptum subspecies 1	3705	5199	102	5053	5348	5	5
Clostridium_AD estertheticum	1057	6214	359	5520	6732	10	10
Clostridium_AD estertheticum subspecies 1	5946	5962	4	5956	5966	3	3
Clostridium_AD estertheticum subspecies 2	3480	6136	181	5763	6406	8	8
Clostridium_AD tagluense	2234	6138	111	6009	6316	4	4
Clostridium_AM drakei	6282	6289	0	6289	6289	2	2
Clostridium_AO tetanomorphum	4247	4570	26	4521	4593	5	5
Clostridium_AP scindens	5676	7732	271	7262	7964	13	13
Clostridium_AT prolinivorans	1893	2491	16	2475	2507	2	2
Clostridium_AU thermarum	3218	5594	110	5439	5679	3	3
Clostridium_E jeddahense	2404	6167	113	5982	6353	6	6
Clostridium_F niameyense	1952	2336	2	2335	2339	3	3
Clostridium_F tepidum	2240	2664	116	2534	2851	4	4
Clostridium_G cochlearium	1352	2412	172	2221	2780	11	11
Clostridium_H homopropionicum	3904	3913	9	3904	3922	2	2
Clostridium_H thermopalmarium	2565	3008	137	2814	3112	3	3
Clostridium_J argentinense	5320	5341	8	5332	5359	6	6
Clostridium_J senegalense	1641	3972	57	3911	4065	5	5
Clostridium_L algidicarnis	1136	3306	49	3212	3378	15	15
Clostridium_L simiarum	2929	4069	73	4027	4195	4	4
Clostridium_Q fessum	2486	6159	463	5418	7844	20	20
Clostridium_Q saccharolyticum_A	4195	6934	320	6418	7247	6	6
Clostridium_R aminophilum	7780	7796	4	7793	7800	2	2
Clostridium_S felsineum	3268	5207	74	5106	5323	5	5
Clostridium_T intestinale	1703	5005	61	4902	5055	4	4
Clostridium_W formicaceticum	6592	6593	0	6593	6593	2	2
Clostridium_X cadaveris	4507	5274	77	5170	5398	7	7
Clostridium_Y paradoxum	1895	1904	8	1895	1912	2	2
Cnuella takakiae	5652	5662	8	5654	5669	2	2
Cnuibacter physcomitrellae	3387	6230	408	5613	6600	4	4
Cobetia amphilecti	2991	12148	370	11602	12592	10	10
Cobetia amphilecti subspecies 1	7921	12667	29	12628	12698	3	3
Cobetia amphilecti subspecies 2	9132	11954	159	11835	12179	3	3
Cobetia marina	6112	12247	925	9644	12770	9	9
Cognaticolwellia aestuarii	9173	9177	2	9175	9179	2	2
Cognaticolwellia chukchiensis	8785	8790	6	8785	8796	2	2
Cognatishimia activa	8018	8223	153	8070	8376	2	2
Cohaesibacter intestini	9532	12057	245	11812	12302	2	2
Cohnella algarum	10217	12248	129	12066	12339	3	3
Cohnella phaseoli	11132	16962	410	16552	17372	2	2
Cohnella thailandensis	13800	13804	1	13803	13805	2	2
Cohnella xylanilytica	11468	13508	14	13494	13521	2	2
Collimonas arenae	9178	9212	14	9198	9227	2	2
Collimonas pratensis	6953	9788	62	9726	9850	2	2
Collinsella aerofaciens_G	1850	4654	98	4561	4940	11	11
Collinsella aerofaciens_H	1925	5421	262	5088	5960	10	10
Collinsella aerofaciens_N	4813	4995	90	4905	5085	2	2
Collinsella bouchesdurhonensis	1523	3935	75	3785	3984	5	5
Collinsella ihumii	3362	5989	84	5844	6038	4	4
Collinsella intestinalis	1480	4029	115	3942	4251	5	5
Collinsella tanakaei	3362	5202	26	5184	5239	3	3
Collinsella tanakaei_A	4611	5582	88	5493	5670	2	2
Colwellia marinimaniae	7539	8964	11	8953	8975	2	2
Colwellia psychrerythraea_A	8681	11330	38	11293	11368	2	2
Colwellia_A hornerae	9312	9317	2	9314	9319	3	3
Comamonas acidovorans	3699	10251	372	9718	11204	35	35
Comamonas aquatica	2735	5196	199	5023	5474	3	3
Comamonas kerstersii	5028	6752	130	6593	6986	6	6
Comamonas koreensis_A	7399	8792	212	8580	9005	2	2
Comamonas terrigena	4883	6220	68	6161	6336	4	4
Comamonas testosteroni	1788	10692	314	10251	11375	17	17
Commensalibacter intestini	3771	4412	40	4372	4453	2	2
Companilactobacillus alimentarius	4808	4815	2	4812	4818	3	3
Companilactobacillus allii	5229	5242	10	5230	5255	3	3
Companilactobacillus heilongjiangensis	5664	5668	2	5665	5670	2	2
Companilactobacillus metriopterae	1719	2611	11	2600	2622	2	2
Companilactobacillus mindensis	5137	5150	12	5138	5162	2	2
Companilactobacillus mishanensis	2985	5042	94	4935	5151	4	4
Companilactobacillus nantensis	6153	6162	4	6158	6167	2	2
Companilactobacillus zhachilii	3825	5560	52	5509	5612	2	2
Conchiformibius steedae	989	1868	91	1763	2014	4	4
Convivina intestini	2355	3382	14	3361	3398	4	4
Coprobacillus cateniformis	5839	7548	128	7336	7664	8	8
Coprobacter fastidiosus	3538	6399	526	5894	7054	7	7
Coprobacter secundus	4084	7567	35	7506	7591	4	4
Coprococcus eutactus	5295	8761	165	8554	9019	9	9
Coprococcus eutactus_A	4276	9029	192	8720	9412	18	18
Coprococcus_A catus	5523	8384	6	8378	8389	2	2
Coprococcus_A catus_A	3765	8342	324	7963	8969	7	7
Coprothermobacter proteolyticus	1667	2684	27	2652	2719	3	3
Corallincola holothuriorum	6047	9150	108	9011	9275	3	3
Corallococcus coralloides	6257	14936	601	14088	15399	3	3
Corallococcus silvisoli	12314	13360	169	13191	13529	2	2
Corticimicrobacter populi	4927	8111	66	8045	8177	2	2
Corynebacterium accolens	1884	6387	92	6170	6607	47	47
Corynebacterium afermentans	3345	3346	0	3345	3346	2	2
Corynebacterium ammoniagenes	6357	7740	44	7658	7807	6	6
Corynebacterium amycolatum	1253	5801	140	5594	6175	44	44
Corynebacterium anserum	4752	5050	8	5042	5059	2	2
Corynebacterium antarcticum	4910	5624	48	5562	5698	6	6
Corynebacterium appendicis	2428	4032	60	3914	4072	5	5
Corynebacterium argentoratense	2721	4151	25	4116	4187	9	9
Corynebacterium auriscanis	3049	4707	149	4462	4828	4	4
Corynebacterium belfantii	3543	4914	84	4717	5044	17	17
Corynebacterium bovis	3648	5095	149	4655	5260	27	27
Corynebacterium callunae	4277	5620	28	5580	5643	3	3
Corynebacterium camporealensis	5755	5770	0	5770	5771	2	2
Corynebacterium canis	3736	3738	2	3736	3741	2	2
Corynebacterium capitovis	3799	3804	4	3799	3808	2	2
Corynebacterium casei	5433	7533	321	7062	8298	32	32
Corynebacterium caspium	2498	2500	2	2498	2502	2	2
Corynebacterium ciconiae	3699	3716	17	3699	3733	2	2
Corynebacterium coyleae	1874	4275	81	4196	4518	15	15
Corynebacterium cystitidis	2797	5478	65	5345	5600	8	8
Corynebacterium diphtheriae	2116	4425	93	4053	4760	382	382
Corynebacterium doosanense	5785	5794	9	5785	5803	2	2
Corynebacterium durum	2503	5053	401	4258	5341	5	5
Corynebacterium efficiens	8150	8172	12	8160	8184	2	2
Corynebacterium falsenii	3101	4962	241	4513	5223	5	5
Corynebacterium felinum	4116	4124	8	4116	4132	2	2
Corynebacterium flavescens	4716	6068	224	5588	6449	15	15
Corynebacterium fournieri	3334	3376	42	3334	3417	2	2
Corynebacterium freiburgense	4204	4210	6	4204	4217	2	2
Corynebacterium freneyi	3165	6136	98	5970	6229	7	7
Corynebacterium genitalium	5084	5110	12	5099	5122	2	2
Corynebacterium glaucum	2541	4094	3	4090	4098	3	3
Corynebacterium glucuronolyticum	4084	5952	68	5855	6091	11	11
Corynebacterium glutamicum	3258	6621	246	5756	7046	76	76
Corynebacterium godavarianum	4339	4348	6	4342	4355	2	2
Corynebacterium gottingense	4202	4417	25	4388	4449	3	3
Corynebacterium guaraldiae	3099	6584	102	6409	6709	6	6
Corynebacterium hadale	4418	4424	2	4421	4426	3	3
Corynebacterium halotolerans	6606	6613	5	6608	6618	2	2
Corynebacterium heidelbergense	2388	3886	62	3798	3933	3	3
Corynebacterium hindlerae	3689	5254	86	5169	5340	2	2
Corynebacterium humireducens	5854	5857	3	5854	5860	2	2
Corynebacterium ihumii	3328	3330	2	3328	3331	2	2
Corynebacterium imitans	2266	4156	127	4028	4337	6	6
Corynebacterium jeddahense	3845	3864	12	3853	3876	2	2
Corynebacterium jeikeium	1823	3872	99	3716	3990	9	9
Corynebacterium kefirresidentii	2995	5949	87	5831	6094	15	15
Corynebacterium kroppenstedtii	6426	6426	0	6426	6427	2	2
Corynebacterium kutscheri	3414	3732	34	3698	3772	4	4
Corynebacterium liangguodongii	4188	4190	0	4190	4190	2	2
Corynebacterium lizhenjunii	4024	4719	35	4684	4754	2	2
Corynebacterium lujinxingii	3649	3651	2	3649	3653	3	3
Corynebacterium macclintockiae	2376	3671	62	3597	3748	3	3
Corynebacterium macginleyi	3557	5581	78	5420	5722	26	26
Corynebacterium marambiense	6005	6466	49	6431	6536	3	3
Corynebacterium marinum	5455	5494	38	5456	5533	2	2
Corynebacterium marquesiae	3008	5754	112	5674	6030	8	8
Corynebacterium massiliense	4192	4855	21	4837	4885	3	3
Corynebacterium mastitidis	1506	2878	124	2693	3004	4	4
Corynebacterium matruchotii	3168	5826	106	5740	6038	7	7
Corynebacterium meridianum	5420	5894	32	5862	5925	2	2
Corynebacterium minutissimum	4983	6715	49	6594	6741	8	8
Corynebacterium nuruki	7014	7027	13	7014	7040	2	2
Corynebacterium otitidis	2848	3240	12	3230	3256	3	3
Corynebacterium parakroppenstedtii	4673	6796	213	6630	7684	22	22
Corynebacterium pelargi	3245	3246	2	3245	3248	2	2
Corynebacterium phocae	6026	6030	0	6030	6030	2	2
Corynebacterium phoceense	4494	7018	100	6856	7172	7	7
Corynebacterium pilosum	5071	5091	8	5080	5096	3	3
Corynebacterium poyangense	5451	5934	25	5909	5959	2	2
Corynebacterium propinquum	2134	4955	87	4808	5206	37	37
Corynebacterium pseudodiphtheriticum	1527	4401	93	4260	4670	54	54
Corynebacterium pseudogenitalium	2526	4397	88	4288	4533	4	4
Corynebacterium pseudokroppenstedtii	5435	6572	139	6444	6868	6	6
Corynebacterium pseudotuberculosis	3290	4118	23	4089	4203	165	165
Corynebacterium pygosceleis	5154	6064	66	6005	6172	5	5
Corynebacterium pyruviciproducens	3266	5498	237	5144	5801	7	7
Corynebacterium qintianiae	3431	4046	46	4000	4091	2	2
Corynebacterium renale	3485	4482	53	4447	4585	5	5
Corynebacterium resistens	3299	4764	130	4634	4893	2	2
Corynebacterium riegelii	2049	4726	353	4164	5180	6	6
Corynebacterium sanguinis	1802	3760	104	3566	4083	33	33
Corynebacterium silvaticum	4662	4787	2	4783	4791	15	15
Corynebacterium singulare	4142	7271	92	7197	7400	3	3
Corynebacterium sphenisci	1839	3088	162	2926	3250	2	2
Corynebacterium spheniscorum	4509	4516	6	4510	4521	2	2
Corynebacterium stationis	2243	6715	459	6225	7684	23	23
Corynebacterium striatum	3389	6595	188	6137	7060	42	42
Corynebacterium testudinoris	6632	7004	2	7003	7006	2	2
Corynebacterium timonense	4248	4256	6	4250	4261	2	2
Corynebacterium tuberculostearicum	2316	5967	89	5876	6111	7	7
Corynebacterium tuscaniense	3701	4907	38	4879	4961	3	3
Corynebacterium uberis	6039	6078	3	6074	6082	6	6
Corynebacterium ulcerans	2248	4671	106	4485	4895	40	40
Corynebacterium urealyticum	2524	4117	59	4072	4272	9	9
Corynebacterium ureicelerivorans	1698	3337	121	3157	3491	4	4
Corynebacterium variabile	4819	7745	361	7115	8269	9	9
Corynebacterium vitaeruminis	4100	5659	324	5201	5910	3	3
Corynebacterium wankanglinii	2492	3650	13	3637	3663	2	2
Corynebacterium xerosis	3493	5649	233	5310	5967	4	4
Corynebacterium yudongzhengii	5151	5154	4	5151	5158	2	2
Corynebacterium zhongnanshanii	2984	4077	34	4043	4111	2	2
Coxiella burnetii	2610	3510	82	3379	3791	24	24
Crateriforma conspicua	13966	16350	28	16322	16379	2	2
Crateriforma spongiae	12690	16206	370	15836	16577	2	2
Craterilacuibacter sinensis	3600	5036	88	4948	5124	2	2
Crenobacter cavernae	1644	3324	226	3099	3550	2	2
Crenobacter luteus	1916	2434	6	2428	2439	2	2
Cribrihabitans marinus	8326	8464	134	8329	8598	2	2
Croceibacterium atlanticum	6516	6518	2	6516	6519	2	2
Croceicoccus marinus	4489	7629	173	7456	7802	2	2
Croceicoccus mobilis	9231	9235	3	9232	9238	2	2
Croceicoccus naphthovorans	7086	7098	12	7087	7110	2	2
Croceicoccus pelagius	6708	6714	5	6709	6719	2	2
Croceivirga radicis	2809	3976	104	3871	4080	2	2
Crocosphaera watsonii	5715	8623	954	7414	9598	6	6
Cronobacter condimenti	9476	9496	0	9495	9496	2	2
Cronobacter dublinensis	5101	8927	130	8642	9025	6	6
Cronobacter malonaticus	5079	8682	114	8461	8846	11	11
Cronobacter muytjensii	8554	8560	6	8554	8566	2	2
Cronobacter sakazakii	4282	8858	308	7682	9465	42	42
Cronobacter turicensis	4393	9158	261	8835	9567	10	10
Cronobacter universalis	8172	8351	47	8306	8416	3	3
Cruoricaptor ignavus	1444	2326	48	2279	2374	2	2
Cryobacterium breve	6389	6392	0	6392	6393	2	2
Cryobacterium flavum	4858	8354	174	8105	8691	6	6
Cryobacterium levicorallinum	2838	7654	237	7389	8123	9	9
Cryobacterium luteum	7639	7654	6	7648	7660	2	2
Cryobacterium psychrophilum	7541	7563	4	7559	7567	2	2
Cryobacterium psychrotolerans	4436	6083	202	5894	6424	4	4
Cryobacterium roopkundense	7703	7722	12	7710	7735	2	2
Cryobacterium zongtaii	3200	6629	122	6444	6867	11	11
Cupriavidus basilensis	3840	13248	575	12567	13979	5	5
Cupriavidus campinensis	4555	10512	685	10026	11481	3	3
Cupriavidus campinensis subspecies 1	9049	10694	165	10490	10895	3	3
Cupriavidus gilardii	5188	6604	36	6568	6641	2	2
Cupriavidus gilardii subspecies 1	4910	7132	172	6804	7280	5	5
Cupriavidus malaysiensis	8053	10625	555	10099	11392	3	3
Cupriavidus metallidurans	5901	12927	542	12279	13870	7	7
Cupriavidus necator	9378	11618	328	11157	11899	3	3
Cupriavidus pauculus	6869	10820	403	10138	11391	7	7
Cupriavidus pinatubonensis	11404	14065	28	14037	14093	2	2
Cupriavidus taiwanensis	8056	9790	196	9593	9986	2	2
Curtobacterium citreum	2326	4387	154	4074	4619	9	9
Curtobacterium flaccumfaciens	4668	5548	18	5530	5567	2	2
Curtobacterium herbarum	5044	5046	2	5044	5047	2	2
Curtobacterium luteum	4347	5014	30	4995	5066	4	4
Curtobacterium oceanosedimentum	3358	4341	97	4244	4438	2	2
Curtobacterium pusillum	4438	5466	0	5465	5466	2	2
Curtobacterium pusillum_A	3392	6206	818	5388	7024	2	2
Cuspidothrix issatschenkoi	3947	7348	384	6963	7732	2	2
Cutibacterium acnes	3818	8059	87	7695	8278	98	98
Cutibacterium avidum	4713	8782	143	8633	9061	6	6
Cutibacterium granulosum	5714	6772	18	6754	6791	2	2
Cutibacterium namnetense	6550	7576	60	7510	7652	4	4
Cyanobium minutissimum	3124	3124	0	3124	3124	1	1
Cyanobium minutissimum subspecies 1	2085	3131	21	3111	3160	3	3
Cyanobium_A usitatum	622	2287	157	2113	2583	7	7
Cyclobacterium marinum	8094	9756	116	9640	9872	2	2
Cyclobacterium qasimii	10594	10689	61	10628	10750	2	2
Cyclobacterium xiamenense	5150	7524	22	7502	7545	2	2
Cycloclasticus pugetii	3166	4896	169	4717	5227	6	6
Cysteiniphilum litorale	6882	6930	39	6891	6969	2	2
Cysteiniphilum marinum	6333	6993	149	6759	7130	7	7
Cytobacillus dafuensis	9209	9250	34	9216	9284	2	2
Cytobacillus firmus	2535	9411	344	8953	9780	3	3
Cytobacillus gottheilii	3856	9040	50	8971	9085	3	3
